id,name,parent_id/id
product.product_category_yks_01,母婴用品,
product.product_category_yks_02,奶粉,product.product_category_yks_49
product.product_category_yks_03,DHA,product.product_category_yks_49
product.product_category_yks_04,米粉,product.product_category_yks_49
product.product_category_yks_05,维生素,product.product_category_yks_49
product.product_category_yks_06,钙铁锌,product.product_category_yks_49
product.product_category_yks_07,鱼肝油,product.product_category_yks_49
product.product_category_yks_08,洗护/喂哺,product.product_category_yks_01
product.product_category_yks_09,奶瓶,product.product_category_yks_08
product.product_category_yks_10,耳温枪,product.product_category_yks_08
product.product_category_yks_11,沐浴露,product.product_category_yks_08
product.product_category_yks_12,安抚奶嘴,product.product_category_yks_08
product.product_category_yks_13,护臀膏,product.product_category_yks_08
product.product_category_yks_14,按摩油,product.product_category_yks_08
product.product_category_yks_15,孕产用品,product.product_category_yks_01
product.product_category_yks_16,妊辰纹护理,product.product_category_yks_15
product.product_category_yks_17,孕产妇DHA,product.product_category_yks_15
product.product_category_yks_18,催奶发奶,product.product_category_yks_15
product.product_category_yks_19,童装,product.product_category_yks_01
product.product_category_yks_20,裤子,product.product_category_yks_19
product.product_category_yks_21,T恤,product.product_category_yks_19
product.product_category_yks_22,裙子,product.product_category_yks_19
product.product_category_yks_23,普通外套,product.product_category_yks_19
product.product_category_yks_24,食品保健,
product.product_category_yks_25,蛋白/维生素/矿物质,product.product_category_yks_24
product.product_category_yks_26,蛋白质,product.product_category_yks_25
product.product_category_yks_27,胶原蛋白,product.product_category_yks_25
product.product_category_yks_28,复合维生素/矿物质,product.product_category_yks_25
product.product_category_yks_29,B族维生素,product.product_category_yks_25
product.product_category_yks_30,维生素C,product.product_category_yks_25
product.product_category_yks_31,钙镁锌,product.product_category_yks_25
product.product_category_yks_32,调节免疫/美容养颜,product.product_category_yks_24
product.product_category_yks_33,深海鱼油,product.product_category_yks_32
product.product_category_yks_34,葡萄籽,product.product_category_yks_32
product.product_category_yks_35,月见草油,product.product_category_yks_32
product.product_category_yks_36,玛卡,product.product_category_yks_32
product.product_category_yks_37,酵素,product.product_category_yks_32
product.product_category_yks_38,辅酶,product.product_category_yks_32
product.product_category_yks_39,膳食纤维/果蔬纤维,product.product_category_yks_32
product.product_category_yks_40,传统滋补,product.product_category_yks_24
product.product_category_yks_41,蜂蜜,product.product_category_yks_40
product.product_category_yks_42,蜂胶,product.product_category_yks_40
product.product_category_yks_43,茶/咖啡/冲饮,product.product_category_yks_40
product.product_category_yks_44,零食/坚果/特产,product.product_category_yks_24
product.product_category_yks_45,糖果,product.product_category_yks_44
product.product_category_yks_46,糕点,product.product_category_yks_44
product.product_category_yks_47,肉制品,product.product_category_yks_44
product.product_category_yks_48,巧克力,product.product_category_yks_44
product.product_category_yks_49,饼干,product.product_category_yks_44
product.product_category_yks_49,奶粉辅食,product.product_category_yks_01
